Fri Jun 15 00:28:40 19;2  Протокол обработки задачи:
G.TSK         : ""

Число выполнений           (Nt)

Sessions      Nt_ABS  
1               2.00  
2               5.00  
3               4.00  
4               6.00  
5               6.00  
6               6.00  
7              11.00  
8              14.00  
9              18.00  
11             15.00  


Число подкреплений         (RFp)

Sessions     RFp_ABS  
1               2.00  
2               8.00  
3               7.00  
4              12.00  
5              12.00  
6              11.00  
7              21.00  
8              26.00  
9              33.00  
11             29.00  


Предварительных подходов   (RFnp)

Sessions    RFnp_ABS  
1               7.00  
2               2.00  
3               5.00  
4               0.00  
5               0.00  
6               2.00  
7               0.00  
8               2.00  
9               2.00  
11              1.00  


Повторных подходов         (RFpp)

Sessions    RFpp_ABS  
1               2.00  
2              12.00  
3              21.00  
4              31.00  
5              31.00  
6              29.00  
7              42.00  
8              26.00  
9              37.00  
11             15.00  


